species,observation_id,latitude,longitude,coordinate_uncertainty_meters,country,state_province,county,place_guess,observed_on,quality_grade
Pluvianus_aegyptius,318006514,18.0263226054,31.4001273997,,,,,"Hussain Narti village, Northern State, Sudan",2023-10-05,research
Pluvianus_aegyptius,318005800,18.0263226054,31.4001273997,,,,,"Hussain Narti village, Northern State, Sudan",2024-02-07,research
Pluvianus_aegyptius,318005774,18.0263226054,31.4001273997,,,,,"Hussain Narti village, Northern State, Sudan",2024-02-03,research
Pluvianus_aegyptius,318006101,18.0360296361,31.4209878715,,,,,"Hussian Narti Village, Northern State, Sudan",2023-08-30,research
Pluvianus_aegyptius,318006236,18.0263226054,31.4001273997,,,,,"Hussain Narti village, Northern State, Sudan",2023-09-06,research
Pluvianus_aegyptius,318005958,18.0337778312,31.4139211003,,,,,"Hussain Narti village, Northern State, Sudan",2023-07-01,research
Pluvianus_aegyptius,318005792,18.0263226054,31.4001273997,,,,,"Hussain Narti village, Northern State, Sudan",2024-02-07,research
Pluvianus_aegyptius,317762449,13.6200647419,-15.2614752462,,,,,,2025-09-19,research
Paradisaea_raggiana,317217442,-9.4349871944,147.3542941667,,,,,"Kairuku-Hiri District, Central Province, Papua New Guinea",2025-08-18,research
Paradisaea_raggiana,316910324,-9.4350794167,147.3536708056,,,,,"Kairuku-Hiri District, Central Province, Papua New Guinea",2025-08-18,research
Phaethon_lepturus,317540288,-13.4836719246,48.2370644014,,,,,"Antsiranana II, Madagascar",2025-09-26,research
Phaethon_lepturus,316416880,21.3102459522,-157.656176649,,,,,"Waimanalo, HI 96795, USA",2025-09-24,research
Phaethon_lepturus,318103037,21.3107831968,-157.655352205,,,,,"Waimanalo, HI 96795, USA",2025-10-01,research
Phaethon_lepturus,317476265,22.1548833333,-159.658155,,,,,"Princeville, HI, US",2025-08-27,research
Phaethon_lepturus,315853270,32.3473472305,-64.6567153931,,,,,"Saint George's, BM",2023-05-01,research
Phaethon_lepturus,315991180,19.4025241736,-155.2817273395,,,,,"Kīlauea, Pahoa, HI, US",2025-08-22,research
Phaethon_lepturus,315991181,19.4066080729,-155.2848911549,,,,,"Kīlauea, Pahoa, HI, US",2025-08-22,research
Phaethon_lepturus,315991182,19.4066807663,-155.2865881982,,,,,"Kīlauea, Pahoa, HI, US",2025-08-22,research
Phaethon_lepturus,317931867,-23.1933445494,113.6379694967,,,,,"Carnarvon, AU-WA, AU",2025-10-01,research
Phaethon_lepturus,315991176,19.4090440295,-155.283914609,,,,,"Kīlauea, Pahoa, HI, US",2025-08-22,research
Phaethon_lepturus,318103136,21.3115375223,-157.6537864655,,,,,"Honolulu County, HI, USA",2025-10-01,research
Phaethon_lepturus,317534530,-10.4281809767,105.6652416467,,,,,Christmas Island,2025-09-29,research
Phaethon_lepturus,317503251,-4.3893731377,55.2404165267,,,,,Ile du Nord,2025-09-24,research
Phaethon_lepturus,316865098,-10.4164364067,105.67478261,,,,,"Christmas Island 6798, Christmas Island",2025-09-27,research
Phaethon_lepturus,316615786,19.4933583333,-155.9183305556,,,,,"Captain Cook, HI, USA",2025-06-29,research
Phaethon_lepturus,316494736,21.6338889,-158.0466667,,,,,"Waimea Falls, North Shore, HI 96712, USA",2024-07-15,research
Phaethon_lepturus,315991188,19.4127348898,-155.2743060378,,,,,"Kīlauea, Pahoa, HI, US",2025-08-22,research
Phaethon_lepturus,317227995,-20.4226734316,57.6997363195,,,,,"HMGX+RFM, Mahebourg, Mauritius",2025-09-28,research
Phaethon_lepturus,316454532,22.6680283333,-157.9766866667,,,,,,2025-09-24,research
Heliconia_latispatha,317057330,10.2222101181,-84.1672231438,,,,,"Cinchona, Provincia de Alajuela, Alajuela, Costa Rica",2025-09-16,research
Heliconia_latispatha,318088977,8.31117308,-77.80791445,,,,,"Pinogana, PA-DR, PA",2025-10-01,research
Heliconia_latispatha,317448824,21.3338416667,-157.8034833333,,,,,"Manoa Rd, Kailua, HI, US",2025-09-17,research
Heliconia_latispatha,316627006,16.9029471997,-89.8944994997,,,,,"W433+5RP, Flores, Guatemala",2025-09-25,research
Heliconia_latispatha,317191707,8.1186638333,98.6214533333,,,,,"Yao Noi Island, Ko Yao District, Phang Nga, TH",2025-09-28,research
Heliconia_latispatha,317295073,8.7862583333,-82.9601833333,,,,,"Coto Brus, Puntarenas, CR",2025-09-28,research
Heliconia_latispatha,317099806,9.7797666667,-84.6064083333,,,,,"Garabito, Puntarenas, CR",2025-09-19,research
Heliconia_latispatha,316096865,4.419184,-75.810764,,,,,"C59Q+MM Santuario Santa Fe, La Tebaida, Quindío, Colombia",2025-09-21,research
Heliconia_latispatha,316645665,9.3892166667,-84.1440666667,,,,,"9VR3+5MF, Puntarenas Province, Quepos, 00506, Costa Rica",2025-09-25,research
Heliconia_latispatha,317164546,9.7712897545,-84.6089050546,,,,,"Tárcoles, Puntarenas Province, Garabito, Costa Rica",2025-09-27,research
Heliconia_latispatha,317050293,9.8161006011,-83.5796203121,,,,,"Turrialba, Cartago, CR",2025-09-08,research
Heliconia_latispatha,317875898,4.6679594666,-74.0999564554,,,,,"Jardín Botánico de Bogotá José Celestino Mutis, CU, CO",2025-09-28,research
Heliconia_latispatha,317455084,9.8466043827,-83.904693136,,,,,"Avenida Seis, Cartago, Cartago, CR",2025-08-18,research
Heliconia_latispatha,316648278,9.4092621477,-84.1553847492,,,,,"CR5V+PR5, Provincia de Puntarenas, Quepos, Costa Rica",2025-09-25,research
Heliconia_latispatha,316936519,8.1191111667,98.6226966667,,,,,"Ko Yao District, Phang Nga, TH",2025-09-27,research
Botaurus_lentiginosus,316875306,44.0692318506,-123.263566643,,,,,"Eugene, OR 97402, USA",2025-09-23,research
Botaurus_lentiginosus,318103159,41.9683083333,-82.52278,,,,,"Lake Pond, Leamington, ON, CA",2025-09-26,research
Botaurus_lentiginosus,315873108,48.8041059762,-122.6501543883,,,,,"Whatcom County, WA, USA",2021-04-29,research
Botaurus_lentiginosus,317685805,47.0812551972,-122.7179848746,,,,,"Brown Farm Rd NE, Olympia, WA, US",2025-09-28,research
Botaurus_lentiginosus,317364747,43.6298051024,-79.3258977047,,,,,"Tommy Thompson Park , Toronto, ON, Canada",2025-09-28,research
Botaurus_lentiginosus,317547751,36.8514574136,-75.9792194143,,,,,"Virginia Beach, VA 23451, USA",2025-09-29,research
Botaurus_lentiginosus,318218382,26.3163,-80.6327,,,,,"Broward County, US-FL, US",2025-10-02,research
Botaurus_lentiginosus,317332731,45.2795138882,-72.1693614513,,,,,"Magog, QC, Canada",2025-09-27,research
Botaurus_lentiginosus,317318223,33.969815,-118.43433,,,,,"Playa Del Rey, Los Angeles, CA, USA",2025-09-06,research
Botaurus_lentiginosus,317840153,45.7830954936,-64.2589363083,,,,,"Amherst, NS B4H 3Y4, Canada",2025-09-30,research
Botaurus_lentiginosus,316138566,47.0661429,-70.80754,,,,,"Cap-Tourmente, QC G0A 3X0, Canada",2025-09-17,research
Botaurus_lentiginosus,317653340,46.2403096682,-119.228584488,,,,,"Richland, WA, USA",2025-09-28,research
Botaurus_lentiginosus,316586402,45.51635,-78.3933861111,,,,,"Algonquin Highlands, ON, Canada",2025-09-25,research
Botaurus_lentiginosus,318134250,40.8565833226,-124.0967121368,,,,,"Jacoby Creek, Eureka, CA, USA",2025-08-31,research
Botaurus_lentiginosus,315806911,41.1089587649,-121.4248275384,,,,,"McArthur, CA 96056, USA",2025-09-21,research
Botaurus_lentiginosus,317392144,40.858337765,-124.094402829,,,,,"Arcata Marsh and Wildlife Sanctuary, Arcata, CA, US",2025-09-28,research
Botaurus_lentiginosus,316555385,44.4157297217,-123.3151272217,,,,,"Benton County, OR, USA",2025-09-01,research
Botaurus_lentiginosus,317208727,34.648332076,-83.401385285,,,,,"Habersham County, GA, USA",2025-04-26,research
Botaurus_lentiginosus,316854622,32.6325817126,-116.9015895231,,,,,"San Diego County, CA, USA",2025-09-26,research
Botaurus_lentiginosus,316577104,44.2122216667,-78.8291783333,,,,,"Washburn Island Rd, Kawartha Lakes, ON, CA",2025-09-25,research
Botaurus_lentiginosus,316376670,42.8646299395,-120.6544815105,,,,,"Lake County, US-OR, US",2025-09-19,research
Botaurus_lentiginosus,317660267,47.5990715738,-122.0087531582,,,,,Hazel Wolf Wetlands,2025-09-28,research
Botaurus_lentiginosus,316155680,28.6690916667,-81.567825,,,,,"Lust Rd, Apopka, FL, US",2024-12-21,research
Botaurus_lentiginosus,318038729,39.4644363,-74.4505376,,,,,"Edwin B. Forsythe National Wildlife Refuge, 800 Great Creek Rd, Galloway, NJ 08205, USA",2025-09-30,research
Botaurus_lentiginosus,317465117,36.9617383333,-121.774375,,,,,"Pinto Lake County Park, Watsonville, CA, US",2025-09-28,research
Botaurus_lentiginosus,318020151,29.6884913285,-81.4719133211,,,,,"Hastings, FL, US",2025-09-23,research
Botaurus_lentiginosus,316383838,44.4004748253,-78.3760466287,,,,,"Peterborough, CA-ON, CA",2024-06-22,research
Botaurus_lentiginosus,316835052,33.0628701622,-80.1070053325,,,,,"Ashworth Dr, Goose Creek, SC, US",2024-12-14,research
Botaurus_lentiginosus,317597186,45.7928909603,-122.7599681541,,,,,"Ridgefield, WA 98642, USA",2025-02-28,research
Botaurus_exilis,317402576,25.8946762792,-97.4872816978,,,,,"Brownsville, TX, USA",2025-09-19,research
Botaurus_exilis,317049755,27.827115555,-97.0795372217,,,,,"Port Aransas, TX, USA",2025-09-21,research
